"","Aeschylus","Diodorus","Herodotus","Hesiod","IlHomer","Lysias","OdHomer","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Plutarch",0,0,0,0,0,0,0,5,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,5,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,3,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,4,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,4,0
"-SUM-",0,0,0,0,1,0,0,0,0,0,0,0,1
"Aeschylus",3,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,3,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,4,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,1,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,5,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,2,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,5,0,0,0,0,0,0
"Plutarch",0,0,1,0,0,0,0,4,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,6,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,3,0,0,0
"Thucydides",0,0,0,0,0,1,0,0,0,0,8,0,1
"Xenophon",0,0,0,0,0,0,0,0,0,0,1,3,1
"-SUM-",0,0,1,0,0,1,0,0,0,0,1,0,3
"Aeschylus",5,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,4,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,5,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,7,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,3,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,2,0,0,0,0,1,0,1
"OdHomer",0,0,0,0,0,0,2,0,0,0,0,0,0
"Plutarch",0,0,1,0,0,0,0,2,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,5,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,6,0,0,0
"Thucydides",0,0,1,0,0,0,0,0,0,0,4,0,1
"Xenophon",0,0,0,0,0,0,0,0,0,0,1,1,1
"-SUM-",0,0,2,0,0,0,0,0,0,0,2,0,4
"Aeschylus",1,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,7,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,4,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,4,2,0,0,0,0,0,0,0,2
"IlHomer",0,0,0,0,3,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,5,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,3,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,3,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,7,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,4,0,0,0
"Thucydides",0,0,0,0,0,0,0,1,0,0,2,0,1
"Xenophon",0,0,0,0,0,0,0,0,0,0,1,3,1
"-SUM-",0,0,0,0,2,0,0,1,0,0,1,0,4
"Aeschylus",5,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,5,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,3,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,3,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,5,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,3,0,0,0,0,1,0,1
"OdHomer",0,0,0,0,0,0,3,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,6,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,4,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,1,0,0,0
"Thucydides",0,0,1,0,0,0,0,0,0,0,3,0,1
"Xenophon",0,0,0,0,0,0,0,0,0,0,1,6,1
"-SUM-",0,0,1,0,0,0,0,0,0,0,2,0,3
"Aeschylus",7,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,6,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,5,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,2,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,5,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,3,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,3,0,0,0,0,0,0
"Plutarch",0,0,1,0,0,0,0,5,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,4,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,1,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,4,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,4,0
"-SUM-",0,0,1,0,0,0,0,0,0,0,0,0,1
"Aeschylus",7,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,3,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,3,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,5,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,0,1,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,5,0,0,0,0,0,1,1
"OdHomer",0,0,0,0,0,0,5,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,5,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,5,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,4,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,2,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,3,0
"-SUM-",0,0,0,0,1,0,0,0,0,0,0,1,2
"Aeschylus",3,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,5,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,3,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,3,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,0,3,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,5,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,5,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,7,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,8,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,2,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,2,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,3,0
"-SUM-",0,0,0,0,1,0,0,0,0,0,0,0,1
"Aeschylus",5,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,3,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,6,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,4,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,3,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,4,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,5,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,4,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,6,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,3,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,5,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,1,1,1
"-SUM-",0,0,0,0,0,0,0,0,0,0,1,0,1
"Aeschylus",7,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,3,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,4,0,0,1,0,0,0,0,0,0,1
"Hesiod",0,0,0,3,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,5,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,2,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,5,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,6,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,4,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,2,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,3,0,0
"Xenophon",0,0,1,0,0,0,0,0,0,0,1,3,2
"-SUM-",0,0,1,0,0,1,0,0,0,0,1,0,3
"Aeschylus",7,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,3,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,2,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,2,3,0,1,0,0,0,0,0,4
"IlHomer",0,0,0,0,4,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,5,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,2,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,3,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,5,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,6,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,3,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,4,0
"-SUM-",0,0,0,0,3,0,1,0,0,0,0,0,4
"Aeschylus",5,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,2,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,8,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,6,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,2,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,3,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,3,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,4,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,7,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,4,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,2,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,4,0
"-SUM-",0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeschylus",7,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,4,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,5,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,3,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,0,8,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,4,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,1,0,2,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,3,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,2,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,2,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,6,1,1
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,1,0
"-SUM-",0,0,0,0,2,0,0,0,0,0,0,1,3
"Aeschylus",1,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,4,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,6,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,4,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,0,8,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,5,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,2,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,3,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,6,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,3,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,4,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,3,0
"-SUM-",0,0,0,0,1,0,0,0,0,0,0,0,1
"Aeschylus",6,0,0,0,0,0,0,0,0,1,0,0,1
"Diodorus",0,2,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,7,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,5,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,8,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,3,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,3,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,3,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,4,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,3,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,2,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,3,0
"-SUM-",0,0,0,0,0,0,0,0,0,1,0,0,1
"Aeschylus",2,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,5,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,3,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,5,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,3,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,2,0,0,0,0,0,1,1
"OdHomer",0,0,0,0,0,0,4,0,0,0,0,0,0
"Plutarch",0,0,1,0,0,0,0,5,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,5,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,6,0,0,0
"Thucydides",0,0,0,0,0,0,0,1,0,0,3,0,1
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,4,0
"-SUM-",0,0,1,0,0,0,0,1,0,0,0,1,3
"Aeschylus",4,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,1,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,5,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,4,2,0,0,0,0,0,0,0,2
"IlHomer",0,0,0,0,7,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,5,0,0,0,0,0,1,1
"OdHomer",0,0,0,0,0,0,2,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,4,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,4,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,4,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,6,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,1,0
"-SUM-",0,0,0,0,2,0,0,0,0,0,0,1,3
"Aeschylus",3,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,6,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,2,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,1,2,0,0,0,0,0,0,0,2
"IlHomer",0,0,0,0,7,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,5,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,7,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,2,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,4,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,5,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,2,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,4,0
"-SUM-",0,0,0,0,2,0,0,0,0,0,0,0,2
"Aeschylus",4,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,5,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,5,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,2,2,0,0,0,0,0,0,0,2
"IlHomer",0,0,0,0,6,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,2,0,0,0,0,0,1,1
"OdHomer",0,0,0,0,0,0,4,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,6,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,2,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,2,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,2,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,7,0
"-SUM-",0,0,0,0,2,0,0,0,0,0,0,1,3
"Aeschylus",4,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,7,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,4,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,3,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,0,4,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,2,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,3,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,5,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,4,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,4,0,0,1
"Thucydides",0,0,0,0,0,0,0,0,0,0,5,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,1,2,1
"-SUM-",1,0,0,0,1,0,0,0,0,0,1,0,3
"Aeschylus",2,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,2,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,3,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,4,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,6,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,4,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,4,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,3,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,4,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,4,0,0,0
"Thucydides",0,0,0,0,0,0,0,1,0,0,1,0,1
"Xenophon",0,0,2,0,0,5,0,0,0,0,2,3,9
"-SUM-",0,0,2,0,0,5,0,1,0,0,2,0,10
"Aeschylus",6,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,5,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,2,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,2,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,0,2,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,4,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,2,0,0,0,0,0,0
"Plutarch",0,0,1,0,0,0,0,4,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,2,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,8,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,6,1,1
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,4,0
"-SUM-",0,0,1,0,1,0,0,0,0,0,0,1,3
"Aeschylus",2,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,7,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,3,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,6,2,0,0,0,0,0,0,0,2
"IlHomer",0,0,0,0,5,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,4,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,3,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,1,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,2,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,7,0,0,1
"Thucydides",0,0,0,0,0,0,0,0,0,0,6,0,0
"Xenophon",0,0,1,0,0,0,0,0,0,0,0,0,1
"-SUM-",1,0,1,0,2,0,0,0,0,0,0,0,4
"Aeschylus",5,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,1,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,4,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,3,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,0,3,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,4,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,7,0,0,0,0,0,0
"Plutarch",0,0,1,0,0,0,0,4,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,4,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,2,0,0,1
"Thucydides",0,0,0,0,0,1,0,0,0,0,5,0,1
"Xenophon",0,0,0,0,0,1,0,0,0,0,0,3,1
"-SUM-",1,0,1,0,1,2,0,0,0,0,0,0,5
"Aeschylus",6,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,4,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,1,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,2,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,5,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,3,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,1,0,6,0,0,0,0,0,1
"Plutarch",0,0,1,0,0,0,0,6,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,8,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,2,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,4,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,1,0
"-SUM-",0,0,1,0,1,0,0,0,0,0,0,0,2
"Aeschylus",3,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,2,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,7,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,3,3,0,0,0,0,0,0,0,3
"IlHomer",0,0,0,0,4,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,6,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,4,0,0,0,0,0,0
"Plutarch",0,0,1,0,0,0,0,3,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,3,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,3,0,0,0
"Thucydides",0,0,0,0,0,0,0,1,0,0,1,0,1
"Xenophon",0,0,1,0,0,0,0,0,0,0,0,5,1
"-SUM-",0,0,2,0,3,0,0,1,0,0,0,0,6
"Aeschylus",4,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,4,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,3,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,4,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,4,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,4,0,0,0,0,0,1,1
"OdHomer",0,0,0,0,0,0,6,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,2,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,3,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,4,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,4,0,0
"Xenophon",0,0,1,0,0,0,0,1,0,0,0,5,2
"-SUM-",0,0,1,0,0,0,0,1,0,0,0,1,3
"Aeschylus",4,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,4,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,5,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,2,2,0,0,0,0,0,0,0,2
"IlHomer",0,0,0,0,4,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,3,0,0,0,0,0,1,1
"OdHomer",0,0,0,0,0,0,8,0,0,0,0,0,0
"Plutarch",0,0,1,0,0,0,0,4,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,3,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,3,0,0,0
"Thucydides",0,0,0,0,0,0,0,1,0,0,3,0,1
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,2,0
"-SUM-",0,0,1,0,2,0,0,1,0,0,0,1,5
"Aeschylus",7,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,4,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,4,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,6,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,2,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,2,0,0,0,0,0,1,1
"OdHomer",0,0,0,0,0,0,4,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,3,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,2,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,4,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,3,0,0
"Xenophon",0,0,1,0,0,0,0,0,0,0,1,6,2
"-SUM-",0,0,1,0,0,0,0,0,0,0,1,1,3
"Aeschylus",5,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,4,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,4,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,3,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,0,5,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,9,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,4,0,0,0,0,0,0
"Plutarch",0,0,1,0,0,0,0,2,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,2,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,2,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,7,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,1,0
"-SUM-",0,0,1,0,1,0,0,0,0,0,0,0,2
"Aeschylus",3,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,8,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,5,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,2,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,0,6,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,6,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,1,0,6,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,4,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,1,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,3,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,2,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,2,0
"-SUM-",0,0,0,0,2,0,0,0,0,0,0,0,2
"Aeschylus",3,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,3,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,7,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,4,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,7,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,2,0,0,0,0,0,1,1
"OdHomer",0,0,0,0,0,0,4,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,5,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,1,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,4,0,0,1
"Thucydides",0,0,0,0,0,0,0,0,0,0,2,0,0
"Xenophon",0,0,0,0,0,1,0,0,0,0,1,4,2
"-SUM-",1,0,0,0,0,1,0,0,0,0,1,1,4
"Aeschylus",3,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,5,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,5,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,2,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,0,3,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,6,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,4,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,4,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,7,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,6,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,1,0,0
"Xenophon",0,0,0,0,0,0,0,0,0,0,0,3,0
"-SUM-",0,0,0,0,1,0,0,0,0,0,0,0,1
