"","Diodorus","Herodotus","Plutarch","Polybius","Thucydides","-SUM-"
"Thucydides",0,2,0,2,8,4
"-SUM-",3,3,0,9,2,17
"Diodorus",14,0,0,1,0,1
"Herodotus",1,13,1,0,2,4
"Plutarch",0,1,11,2,0,3
"Polybius",0,0,0,11,1,1
"Thucydides",0,1,2,2,7,5
"-SUM-",1,2,3,5,3,14
"Diodorus",10,0,0,2,1,3
"Herodotus",0,12,0,1,2,3
"Plutarch",0,0,13,2,2,4
"Polybius",0,0,0,12,1,1
"Thucydides",0,2,1,0,9,3
"-SUM-",0,2,1,5,6,14
"Diodorus",12,0,0,0,1,1
"Herodotus",1,12,1,0,1,3
"Plutarch",0,0,13,2,2,4
"Polybius",1,0,0,15,0,1
"Thucydides",0,2,0,1,6,3
"-SUM-",2,2,1,3,4,12
"Diodorus",9,1,0,2,2,5
"Herodotus",0,10,1,0,0,1
"Plutarch",1,0,17,2,2,5
"Polybius",0,0,0,12,0,0
"Thucydides",0,1,1,1,8,3
"-SUM-",1,2,2,5,4,14
"Diodorus",11,0,0,1,0,1
"Herodotus",0,11,1,0,2,3
"Plutarch",0,2,10,0,1,3
"Polybius",1,0,0,15,0,1
"Thucydides",1,1,0,3,10,5
"-SUM-",2,3,1,4,3,13
"Diodorus",10,0,0,0,1,1
"Herodotus",0,20,2,0,0,2
"Plutarch",1,1,11,0,0,2
"Polybius",1,0,1,11,0,2
"Thucydides",0,4,0,1,6,5
"-SUM-",2,5,3,1,1,12
"Diodorus",10,0,0,2,0,2
"Herodotus",0,11,0,0,2,2
"Plutarch",0,2,9,1,2,5
"Polybius",1,0,0,16,0,1
"Thucydides",0,1,0,1,12,2
"-SUM-",1,3,0,4,4,12
"Diodorus",13,0,1,4,0,5
"Herodotus",0,9,0,0,0,0
"Plutarch",1,1,11,1,0,3
"Polybius",2,0,0,12,0,2
"Thucydides",1,1,0,2,11,4
"-SUM-",4,2,1,7,0,14
"Diodorus",13,0,0,2,0,2
"Herodotus",0,10,0,0,0,0
"Plutarch",0,2,12,1,0,3
"Polybius",1,0,1,13,1,3
"Thucydides",0,3,0,0,11,3
"-SUM-",1,5,1,3,1,11
"Diodorus",12,0,0,3,0,3
"Herodotus",1,14,0,0,0,1
"Plutarch",0,1,10,0,2,3
"Polybius",0,0,0,11,0,0
"Thucydides",0,1,0,1,14,2
"-SUM-",1,2,0,4,2,9
"Diodorus",13,0,0,2,0,2
"Herodotus",0,13,0,0,2,2
"Plutarch",0,2,11,1,0,3
"Polybius",1,0,0,11,0,1
"Thucydides",0,0,1,0,13,1
"-SUM-",1,2,1,3,2,9
"Diodorus",13,0,0,1,0,1
"Herodotus",1,11,0,0,0,1
"Plutarch",0,0,11,0,1,1
"Polybius",1,0,0,14,0,1
"Thucydides",1,2,1,0,13,4
"-SUM-",3,2,1,1,1,8
"Diodorus",11,0,0,4,0,4
"Herodotus",0,14,2,1,0,3
"Plutarch",0,1,7,1,1,3
"Polybius",0,0,0,14,0,0
"Thucydides",0,0,0,0,14,0
"-SUM-",0,1,2,6,1,10
"Diodorus",12,0,0,3,0,3
"Herodotus",0,10,0,0,1,1
"Plutarch",0,1,8,1,1,3
"Polybius",0,0,0,17,0,0
"Thucydides",1,2,0,2,11,5
"-SUM-",1,3,0,6,2,12
"Diodorus",11,0,0,1,1,2
"Herodotus",0,18,1,0,0,1
"Plutarch",0,1,12,3,0,4
"Polybius",0,0,0,14,0,0
"Thucydides",0,1,0,1,6,2
"-SUM-",0,2,1,5,1,9
"Diodorus",13,0,1,3,1,5
"Herodotus",0,11,0,0,1,1
"Plutarch",0,0,11,1,0,1
"Polybius",0,0,0,18,0,0
"Thucydides",0,1,0,2,7,3
"-SUM-",0,1,1,6,2,10
"Diodorus",15,0,0,3,0,3
"Herodotus",0,13,0,0,6,6
"Plutarch",0,1,10,1,0,2
"Polybius",0,0,0,8,0,0
"Thucydides",0,0,0,0,13,0
"-SUM-",0,1,0,4,6,11
"Diodorus",8,0,0,3,0,3
"Herodotus",0,15,1,0,0,1
"Plutarch",0,1,12,3,0,4
"Polybius",2,0,0,12,0,2
"Thucydides",1,2,0,1,9,4
"-SUM-",3,3,1,7,0,14
"Diodorus",11,0,0,2,0,2
"Herodotus",1,19,0,1,1,3
"Plutarch",0,0,5,1,0,1
"Polybius",0,0,1,10,0,1
"Thucydides",1,1,1,2,13,5
"-SUM-",2,1,2,6,1,12
"Diodorus",14,0,0,3,1,4
"Herodotus",1,13,0,0,2,3
"Plutarch",0,0,10,1,0,1
"Polybius",0,0,1,14,0,1
"Thucydides",1,0,0,1,8,2
"-SUM-",2,0,1,5,3,11
"Diodorus",12,0,0,1,0,1
"Herodotus",0,18,0,0,0,0
"Plutarch",1,2,9,1,0,4
"Polybius",2,0,0,12,0,2
"Thucydides",1,0,1,0,10,2
"-SUM-",4,2,1,2,0,9
"Diodorus",12,0,0,2,1,3
"Herodotus",0,14,0,0,0,0
"Plutarch",1,1,6,0,1,3
"Polybius",0,0,1,15,0,1
"Thucydides",2,3,0,0,11,5
"-SUM-",3,4,1,2,2,12
"Diodorus",13,0,0,3,0,3
"Herodotus",0,10,0,0,2,2
"Plutarch",0,0,15,1,0,1
"Polybius",0,0,0,8,0,0
"Thucydides",0,4,0,1,13,5
"-SUM-",0,4,0,5,2,11
"Diodorus",14,0,0,1,0,1
"Herodotus",1,16,1,0,2,4
"Plutarch",0,0,9,1,0,1
"Polybius",1,0,0,14,0,1
"Thucydides",0,5,0,0,5,5
"-SUM-",2,5,1,2,2,12
"Diodorus",11,0,0,0,0,0
"Herodotus",0,18,1,0,0,1
"Plutarch",1,0,12,0,0,1
"Polybius",1,0,0,15,0,1
"Thucydides",2,2,0,2,5,6
"-SUM-",4,2,1,2,0,9
"Diodorus",9,0,0,2,0,2
"Herodotus",0,11,0,0,0,0
"Plutarch",0,1,13,0,0,1
"Polybius",2,0,1,11,0,3
"Thucydides",2,3,0,0,15,5
"-SUM-",4,4,1,2,0,11
"Diodorus",11,0,0,4,0,4
"Herodotus",1,11,0,0,0,1
"Plutarch",0,1,14,1,1,3
"Polybius",1,0,0,12,0,1
"Thucydides",0,1,1,1,10,3
"-SUM-",2,2,1,6,1,12
"Diodorus",15,0,0,3,0,3
"Herodotus",0,8,1,0,0,1
"Plutarch",1,0,7,2,1,4
"Polybius",1,0,0,13,0,1
"Thucydides",0,2,1,3,12,6
"-SUM-",2,2,2,8,1,15
"Diodorus",12,0,0,3,0,3
"Herodotus",0,16,1,0,3,4
"Plutarch",0,2,8,0,1,3
"Polybius",2,0,0,12,0,2
"Thucydides",0,1,2,1,6,4
"-SUM-",2,3,3,4,4,16
"Diodorus",8,0,0,1,0,1
"Herodotus",1,13,1,0,1,3
"Plutarch",1,2,15,2,0,5
"Polybius",0,0,0,17,0,0
"Thucydides",1,2,0,0,5,3
"-SUM-",3,4,1,3,1,12
"Diodorus",10,0,0,0,1,1
"Herodotus",0,6,0,0,1,1
"Plutarch",0,2,11,1,1,4
"Polybius",0,0,0,16,0,0
"Thucydides",0,5,1,2,13,8
"-SUM-",0,7,1,3,3,14
"Diodorus",11,1,0,2,1,4
"Herodotus",0,10,0,0,0,0
"Plutarch",0,0,12,1,2,3
"Polybius",0,0,2,13,0,2
"Thucydides",1,2,0,0,12,3
"-SUM-",1,3,2,3,3,12
"Diodorus",19,0,0,1,0,1
"Herodotus",1,14,0,0,0,1
"Plutarch",1,1,9,0,1,3
"Polybius",0,0,0,8,0,0
"Thucydides",0,2,1,1,11,4
"-SUM-",2,3,1,2,1,9
"Diodorus",6,0,0,0,1,1
"Herodotus",0,14,0,0,1,1
"Plutarch",0,2,18,1,1,4
"Polybius",0,0,0,18,0,0
"Thucydides",0,1,0,0,7,1
"-SUM-",0,3,0,1,3,7
"Diodorus",10,0,0,2,1,3
"Herodotus",0,12,1,0,2,3
"Plutarch",0,0,8,1,0,1
"Polybius",0,0,0,17,0,0
"Thucydides",2,2,0,1,11,5
"-SUM-",2,2,1,4,3,12
"Diodorus",10,0,0,3,0,3
"Herodotus",0,13,0,0,1,1
"Plutarch",0,0,10,2,0,2
"Polybius",1,0,0,17,0,1
"Thucydides",1,0,0,1,11,2
"-SUM-",2,0,0,6,1,9
"Diodorus",9,0,0,2,1,3
"Herodotus",0,8,0,0,1,1
"Plutarch",1,0,14,0,1,2
"Polybius",1,0,1,20,0,2
"Thucydides",0,0,2,1,8,3
"-SUM-",2,0,3,3,3,11
"Diodorus",12,0,0,1,1,2
"Herodotus",0,12,0,0,3,3
"Plutarch",1,0,12,0,0,1
"Polybius",1,0,0,13,0,1
"Thucydides",1,0,1,0,12,2
"-SUM-",3,0,1,1,4,9
"Diodorus",11,1,0,3,0,4
"Herodotus",0,5,0,0,0,0
"Plutarch",0,1,13,2,2,5
"Polybius",0,0,1,16,0,1
"Thucydides",0,3,0,0,12,3
"-SUM-",0,5,1,5,2,13
"Diodorus",9,0,0,0,0,0
"Herodotus",0,11,0,0,1,1
"Plutarch",1,1,10,0,0,2
"Polybius",0,0,0,20,1,1
"Thucydides",0,2,1,3,10,6
"-SUM-",1,3,1,3,2,10
"Diodorus",11,0,0,2,0,2
"Herodotus",0,17,0,0,2,2
"Plutarch",0,2,4,1,1,4
"Polybius",0,0,0,17,0,0
"Thucydides",0,2,0,2,9,4
"-SUM-",0,4,0,5,3,12
"Diodorus",10,0,0,1,0,1
"Herodotus",0,10,1,0,2,3
"Plutarch",0,2,10,0,1,3
"Polybius",1,0,0,12,0,1
"Thucydides",1,0,1,2,16,4
"-SUM-",2,2,2,3,3,12
"Diodorus",11,0,0,3,1,4
"Herodotus",0,10,2,0,0,2
"Plutarch",0,1,12,0,1,2
"Polybius",1,0,1,15,0,2
"Thucydides",0,2,0,0,10,2
"-SUM-",1,3,3,3,2,12
"Diodorus",12,0,0,1,1,2
"Herodotus",0,13,0,0,2,2
"Plutarch",1,2,7,0,0,3
"Polybius",0,0,0,15,0,0
"Thucydides",1,2,0,3,10,6
"-SUM-",2,4,0,4,3,13
"Diodorus",12,0,0,0,1,1
"Herodotus",0,12,0,1,0,1
"Plutarch",1,1,12,1,0,3
"Polybius",0,0,0,12,0,0
"Thucydides",1,2,0,2,12,5
"-SUM-",2,3,0,4,1,10
"Diodorus",10,0,0,0,0,0
"Herodotus",1,14,0,0,2,3
"Plutarch",0,0,11,1,0,1
"Polybius",0,0,0,18,1,1
"Thucydides",1,0,0,0,11,1
"-SUM-",2,0,0,1,3,6
"Diodorus",14,0,0,2,2,4
"Herodotus",0,12,0,0,0,0
"Plutarch",0,1,6,1,1,3
"Polybius",1,1,0,11,0,2
"Thucydides",1,3,1,2,11,7
"-SUM-",2,5,1,5,3,16
"Diodorus",12,1,0,0,1,2
"Herodotus",1,10,0,0,0,1
"Plutarch",0,0,10,2,1,3
"Polybius",1,0,0,18,0,1
"Thucydides",0,1,0,2,10,3
"-SUM-",2,2,0,4,2,10
"Diodorus",7,0,0,0,0,0
"Herodotus",1,17,0,0,0,1
"Plutarch",0,0,12,0,1,1
"Polybius",1,0,0,10,0,1
"Thucydides",0,2,1,2,16,5
"-SUM-",2,2,1,2,1,8
"Diodorus",7,0,0,0,0,0
"Herodotus",1,17,0,0,2,3
"Plutarch",1,1,14,1,1,4
"Polybius",1,0,0,12,0,1
"Thucydides",1,0,0,0,11,1
"-SUM-",4,1,0,1,3,9
"Diodorus",12,0,0,1,0,1
"Herodotus",1,11,1,0,1,3
"Plutarch",0,0,8,1,2,3
"Polybius",1,1,0,10,1,3
"Thucydides",0,3,0,1,15,4
"-SUM-",2,4,1,3,4,14
"Diodorus",18,0,0,2,0,2
"Herodotus",0,7,1,0,0,1
"Plutarch",0,1,13,0,1,2
"Polybius",0,0,1,16,0,1
"Thucydides",0,1,0,0,9,1
"-SUM-",0,2,2,2,1,7
"Diodorus",6,0,0,2,0,2
"Herodotus",0,10,0,0,0,0
"Plutarch",0,0,12,2,1,3
"Polybius",1,0,0,20,0,1
"Thucydides",2,0,0,3,11,5
"-SUM-",3,0,0,7,1,11
"Diodorus",12,1,0,1,0,2
"Herodotus",1,7,1,0,2,4
"Plutarch",2,1,12,1,1,5
"Polybius",0,0,1,16,0,1
"Thucydides",0,2,1,1,7,4
"-SUM-",3,4,3,3,3,16
"Diodorus",13,0,0,2,0,2
"Herodotus",0,15,0,0,0,0
"Plutarch",1,1,6,3,2,7
"Polybius",1,0,1,11,1,3
"Thucydides",0,2,1,0,10,3
"-SUM-",2,3,2,5,3,15
"Diodorus",16,0,0,1,0,1
"Herodotus",1,11,2,1,1,5
"Plutarch",0,0,11,1,1,2
"Polybius",0,0,0,11,0,0
"Thucydides",0,1,0,0,12,1
"-SUM-",1,1,2,3,2,9
"Diodorus",13,0,0,3,0,3
"Herodotus",1,15,1,0,1,3
"Plutarch",0,1,11,0,1,2
"Polybius",0,0,0,11,0,0
"Thucydides",1,0,0,1,10,2
"-SUM-",2,1,1,4,2,10
"Diodorus",9,0,0,2,2,4
"Herodotus",0,11,0,0,1,1
"Plutarch",0,0,12,3,0,3
"Polybius",1,0,0,14,0,1
"Thucydides",1,1,0,0,13,2
"-SUM-",2,1,0,5,3,11
"Diodorus",6,1,0,1,0,2
"Herodotus",1,14,0,1,0,2
"Plutarch",1,1,12,0,0,2
"Polybius",1,0,0,17,0,1
"Thucydides",1,1,1,2,9,5
"-SUM-",4,3,1,4,0,12
"Diodorus",10,0,0,4,0,4
"Herodotus",0,12,0,0,3,3
"Plutarch",0,2,11,0,1,3
"Polybius",0,0,0,14,0,0
"Thucydides",0,1,0,2,10,3
"-SUM-",0,3,0,6,4,13
"Diodorus",10,0,0,2,0,2
"Herodotus",0,19,0,0,0,0
"Plutarch",1,0,10,1,0,2
"Polybius",0,0,0,14,0,0
"Thucydides",0,0,1,1,11,2
"-SUM-",1,0,1,4,0,6
"Diodorus",8,0,0,2,0,2
"Herodotus",0,10,0,0,1,1
"Plutarch",1,0,13,2,1,4
"Polybius",0,1,0,14,1,2
"Thucydides",1,2,1,1,11,5
"-SUM-",2,3,1,5,3,14
"Diodorus",10,1,0,2,0,3
"Herodotus",0,13,0,0,2,2
"Plutarch",1,0,6,0,0,1
"Polybius",0,0,0,21,1,1
"Thucydides",0,4,0,0,9,4
"-SUM-",1,5,0,2,3,11
"Diodorus",13,0,0,0,0,0
"Herodotus",0,6,0,1,3,4
"Plutarch",0,3,14,0,0,3
"Polybius",0,0,0,12,0,0
"Thucydides",1,2,0,3,12,6
"-SUM-",1,5,0,4,3,13
"Diodorus",13,0,0,1,0,1
"Herodotus",1,8,0,0,0,1
"Plutarch",1,0,12,1,0,2
"Polybius",0,0,0,15,0,0
"Thucydides",0,2,0,3,13,5
"-SUM-",2,2,0,5,0,9
"Diodorus",11,0,0,4,0,4
"Herodotus",0,12,0,0,0,0
"Plutarch",0,1,16,0,1,2
"Polybius",1,0,0,13,0,1
"Thucydides",1,3,0,0,7,4
"-SUM-",2,4,0,4,1,11
"Diodorus",15,0,0,1,0,1
"Herodotus",0,18,1,0,0,1
"Plutarch",0,1,9,1,0,2
"Polybius",1,0,0,8,1,2
"Thucydides",1,2,0,1,10,4
"-SUM-",2,3,1,3,1,10
"Diodorus",12,0,0,5,0,5
"Herodotus",1,12,0,0,4,5
"Plutarch",1,1,11,1,0,3
"Polybius",0,0,0,7,0,0
"Thucydides",0,0,0,2,13,2
"-SUM-",2,1,0,8,4,15
"Diodorus",13,1,0,3,0,4
"Herodotus",0,10,0,1,1,2
"Plutarch",1,1,7,1,2,5
"Polybius",0,0,0,14,0,0
"Thucydides",1,2,1,1,10,5
"-SUM-",2,4,1,6,3,16
"Diodorus",9,0,1,0,0,1
"Herodotus",0,11,0,0,3,3
"Plutarch",1,1,10,1,0,3
"Polybius",0,1,0,12,1,2
"Thucydides",0,3,0,0,16,3
"-SUM-",1,5,1,1,4,12
"Diodorus",12,0,0,7,0,7
"Herodotus",1,12,0,0,3,4
"Plutarch",0,3,7,2,0,5
"Polybius",1,0,1,6,0,2
"Thucydides",0,0,0,3,12,3
"-SUM-",2,3,1,12,3,21
"Diodorus",11,0,0,3,0,3
"Herodotus",0,10,0,0,1,1
"Plutarch",1,1,5,0,0,2
"Polybius",0,0,0,19,0,0
"Thucydides",1,5,2,2,9,10
"-SUM-",2,6,2,5,1,16
"Diodorus",12,0,0,4,0,4
"Herodotus",1,11,1,0,2,4
"Plutarch",1,1,13,1,1,4
"Polybius",0,0,0,13,0,0
"Thucydides",0,1,0,0,8,1
"-SUM-",2,2,1,5,3,13
"Diodorus",8,0,0,2,0,2
"Herodotus",1,15,0,0,0,1
"Plutarch",1,0,11,0,0,1
"Polybius",0,0,0,18,0,0
"Thucydides",1,3,0,3,7,7
"-SUM-",3,3,0,5,0,11
"Diodorus",12,0,0,3,0,3
"Herodotus",0,9,0,0,1,1
"Plutarch",0,1,6,0,1,2
"Polybius",1,0,1,18,0,2
"Thucydides",1,3,0,2,11,6
"-SUM-",2,4,1,5,2,14
"Diodorus",7,0,0,1,0,1
"Herodotus",0,19,0,1,0,1
"Plutarch",1,2,7,1,0,4
"Polybius",0,0,0,15,0,0
"Thucydides",0,2,0,0,14,2
"-SUM-",1,4,0,3,0,8
"Diodorus",19,0,0,1,1,2
"Herodotus",0,10,2,0,2,4
"Plutarch",0,0,9,0,2,2
"Polybius",0,0,0,6,0,0
"Thucydides",0,3,1,0,14,4
"-SUM-",0,3,3,1,5,12
"Diodorus",14,0,0,2,0,2
"Herodotus",1,11,0,1,1,3
"Plutarch",0,0,10,0,0,0
"Polybius",0,0,1,13,0,1
"Thucydides",1,3,1,1,10,6
"-SUM-",2,3,2,4,1,12
"Diodorus",8,0,0,3,0,3
"Herodotus",0,9,0,0,0,0
"Plutarch",0,2,13,0,0,2
"Polybius",2,1,0,16,0,3
"Thucydides",0,1,2,0,13,3
"-SUM-",2,4,2,3,0,11
"Diodorus",17,0,0,1,0,1
"Herodotus",0,8,2,0,0,2
"Plutarch",1,1,8,1,1,4
"Polybius",0,0,0,16,0,0
"Thucydides",2,4,0,0,8,6
"-SUM-",3,5,2,2,1,13
"Diodorus",12,0,0,3,0,3
"Herodotus",1,11,1,0,2,4
"Plutarch",0,2,9,0,1,3
"Polybius",2,0,0,11,1,3
"Thucydides",0,2,1,0,11,3
"-SUM-",3,4,2,3,4,16
"Diodorus",8,0,0,1,0,1
"Herodotus",1,11,0,0,0,1
"Plutarch",1,3,10,2,1,7
"Polybius",1,0,0,13,0,1
"Thucydides",0,4,0,4,10,8
"-SUM-",3,7,0,7,1,18
"Diodorus",13,0,0,1,0,1
"Herodotus",0,13,0,0,0,0
"Plutarch",0,2,11,2,0,4
"Polybius",1,0,1,12,0,2
"Thucydides",2,2,0,1,9,5
"-SUM-",3,4,1,4,0,12
"Diodorus",10,0,0,1,0,1
"Herodotus",0,11,0,0,1,1
"Plutarch",0,1,12,1,1,3
"Polybius",0,0,0,13,0,0
"Thucydides",2,0,1,1,15,4
"-SUM-",2,1,1,3,2,9
"Diodorus",12,1,0,3,0,4
"Herodotus",0,10,0,1,0,1
"Plutarch",1,0,14,1,0,2
"Polybius",0,0,0,18,0,0
"Thucydides",1,0,0,1,7,2
"-SUM-",2,1,0,6,0,9
"Diodorus",9,0,0,3,0,3
"Herodotus",0,19,0,0,0,0
"Plutarch",1,0,11,2,0,3
"Polybius",0,0,0,17,0,0
"Thucydides",1,3,0,0,4,4
"-SUM-",2,3,0,5,0,10
"Diodorus",15,0,0,1,1,2
"Herodotus",0,15,0,0,2,2
"Plutarch",1,1,11,2,0,4
"Polybius",1,0,0,9,0,1
"Thucydides",0,2,1,1,7,4
"-SUM-",2,3,1,4,3,13
"Diodorus",10,0,0,1,1,2
"Herodotus",0,16,0,0,0,0
"Plutarch",1,0,11,1,2,4
"Polybius",2,0,1,7,0,3
"Thucydides",0,3,0,0,14,3
"-SUM-",3,3,1,2,3,12
"Diodorus",16,1,0,2,0,3
"Herodotus",1,16,0,1,1,3
"Plutarch",1,0,8,0,1,2
"Polybius",0,0,0,10,0,0
"Thucydides",0,3,0,0,9,3
"-SUM-",2,4,0,3,2,11
"Diodorus",8,0,0,3,0,3
"Herodotus",0,11,0,1,1,2
"Plutarch",1,1,12,2,2,6
"Polybius",2,0,0,12,0,2
"Thucydides",0,5,0,0,9,5
"-SUM-",3,6,0,6,3,18
"Diodorus",15,0,0,3,0,3
"Herodotus",1,16,0,0,0,1
"Plutarch",1,0,13,0,1,2
"Polybius",1,0,0,8,0,1
"Thucydides",1,2,1,0,7,4
"-SUM-",4,2,1,3,1,11
"Diodorus",12,0,0,2,0,2
"Herodotus",0,10,0,0,0,0
"Plutarch",0,2,11,1,0,3
"Polybius",1,0,0,19,1,2
"Thucydides",0,2,0,1,8,3
"-SUM-",1,4,0,4,1,10
"Diodorus",16,0,0,0,0,0
"Herodotus",0,9,1,0,1,2
"Plutarch",0,0,10,0,0,0
"Polybius",0,0,1,17,0,1
"Thucydides",0,1,0,3,11,4
"-SUM-",0,1,2,3,1,7
"Diodorus",10,0,0,2,1,3
"Herodotus",0,13,0,0,1,1
"Plutarch",0,1,13,1,0,2
"Polybius",0,0,0,16,0,0
"Thucydides",1,1,0,0,10,2
"-SUM-",1,2,0,3,2,8
"Diodorus",10,0,0,1,0,1
"Herodotus",1,14,0,0,0,1
"Plutarch",1,0,16,1,0,2
"Polybius",1,0,0,8,0,1
"Thucydides",0,4,0,0,13,4
"-SUM-",3,4,0,2,0,9
"Diodorus",14,0,0,1,0,1
"Herodotus",0,8,0,0,1,1
"Plutarch",0,1,11,1,0,2
"Polybius",0,0,0,16,0,0
"Thucydides",2,2,0,4,9,8
"-SUM-",2,3,0,6,1,12
"Diodorus",13,0,0,1,0,1
"Herodotus",0,11,0,0,1,1
"Plutarch",0,0,12,0,0,0
"Polybius",1,0,0,14,0,1
"Thucydides",0,1,0,0,16,1
"-SUM-",1,1,0,1,1,4
"Diodorus",13,0,0,1,0,1
"Herodotus",0,19,1,0,0,1
"Plutarch",0,0,7,0,0,0
"Polybius",0,0,0,17,0,0
"Thucydides",1,0,0,1,10,2
"-SUM-",1,0,1,2,0,4
"Diodorus",9,0,0,5,0,5
"Herodotus",1,13,0,0,0,1
"Plutarch",1,1,6,0,2,4
"Polybius",0,0,0,17,1,1
"Thucydides",0,0,0,0,14,0
"-SUM-",2,1,0,5,3,11
"Diodorus",12,0,0,2,0,2
"Herodotus",0,15,1,0,2,3
"Plutarch",0,1,9,4,0,5
"Polybius",0,1,0,14,0,1
"Thucydides",0,2,0,1,6,3
"-SUM-",0,4,1,7,2,14
"Diodorus",14,0,0,1,0,1
"Herodotus",0,17,0,1,3,4
"Plutarch",1,0,8,1,1,3
"Polybius",0,0,0,12,0,0
"Thucydides",1,0,2,0,8,3
"-SUM-",2,0,2,3,4,11
"Diodorus",20,0,0,0,1,1
"Herodotus",1,9,0,0,1,2
"Plutarch",1,3,8,0,0,4
"Polybius",0,0,0,10,0,0
"Thucydides",1,1,0,2,12,4
"-SUM-",3,4,0,2,2,11
"Diodorus",12,0,0,2,2,4
"Herodotus",0,9,1,0,0,1
"Plutarch",1,1,13,0,1,3
"Polybius",0,0,1,18,0,1
"Thucydides",1,0,0,1,7,2
"-SUM-",2,1,2,3,3,11
"Diodorus",7,0,0,0,0,0
"Herodotus",0,11,2,0,1,3
"Plutarch",0,0,14,2,0,2
"Polybius",0,0,0,14,0,0
"Thucydides",1,3,1,3,11,8
"-SUM-",1,3,3,5,1,13
"Diodorus",10,0,0,1,0,1
"Herodotus",0,13,0,0,0,0
"Plutarch",1,1,9,2,0,4
"Polybius",0,0,0,18,0,0
"Thucydides",0,0,1,1,13,2
"-SUM-",1,1,1,4,0,7
"Diodorus",13,0,0,0,0,0
"Herodotus",0,12,3,0,3,6
"Plutarch",0,1,8,3,0,4
"Polybius",0,0,0,16,0,0
"Thucydides",1,1,0,0,9,2
"-SUM-",1,2,3,3,3,12
"Diodorus",10,1,0,2,0,3
"Herodotus",1,15,1,0,1,3
"Plutarch",0,1,11,0,0,1
"Polybius",1,0,0,15,1,2
"Thucydides",0,2,0,0,8,2
"-SUM-",2,4,1,2,2,11
"Diodorus",13,1,0,0,0,1
"Herodotus",0,15,0,0,0,0
"Plutarch",1,1,8,0,0,2
"Polybius",1,0,0,14,0,1
"Thucydides",1,1,0,1,13,3
"-SUM-",3,3,0,1,0,7
"Diodorus",13,0,0,0,0,0
"Herodotus",0,8,0,0,1,1
"Plutarch",2,0,10,1,2,5
"Polybius",1,0,0,15,0,1
"Thucydides",0,3,0,0,14,3
"-SUM-",3,3,0,1,3,10
"Diodorus",11,0,0,2,0,2
"Herodotus",2,17,0,0,1,3
"Plutarch",0,3,7,0,0,3
"Polybius",1,0,0,11,0,1
"Thucydides",0,0,0,4,11,4
"-SUM-",3,3,0,6,1,13
"Diodorus",12,0,0,3,1,4
"Herodotus",0,14,0,0,1,1
"Plutarch",0,1,10,2,1,4
"Polybius",0,0,0,10,0,0
"Thucydides",1,2,0,2,10,5
"-SUM-",1,3,0,7,3,14
"Diodorus",10,0,0,3,0,3
"Herodotus",0,8,0,0,0,0
"Plutarch",0,3,14,0,0,3
"Polybius",0,0,1,15,0,1
"Thucydides",0,3,0,2,11,5
"-SUM-",0,6,1,5,0,12
"Diodorus",18,0,0,1,0,1
"Herodotus",0,10,0,0,1,1
"Plutarch",0,0,15,3,1,4
"Polybius",1,0,0,12,0,1
"Thucydides",0,1,1,3,3,5
"-SUM-",1,1,1,7,2,12
"Diodorus",10,0,0,2,0,2
"Herodotus",0,13,1,0,1,2
"Plutarch",0,0,13,1,0,1
"Polybius",1,0,0,14,0,1
"Thucydides",0,3,1,2,8,6
"-SUM-",1,3,2,5,1,12
"Diodorus",13,0,0,1,0,1
"Herodotus",0,8,2,0,0,2
"Plutarch",2,0,11,2,1,5
"Polybius",0,0,1,11,0,1
"Thucydides",0,2,2,1,13,5
"-SUM-",2,2,5,4,1,14
"Diodorus",14,1,0,2,0,3
"Herodotus",0,14,0,0,0,0
"Plutarch",0,0,13,2,0,2
"Polybius",0,0,0,15,0,0
"Thucydides",1,0,1,1,6,3
"-SUM-",1,1,1,5,0,8
"Diodorus",10,0,0,2,0,2
"Herodotus",1,15,1,0,2,4
"Plutarch",0,1,11,0,0,1
"Polybius",1,0,2,10,0,3
"Thucydides",1,1,1,3,8,6
"-SUM-",3,2,4,5,2,16
"Diodorus",15,0,0,1,0,1
"Herodotus",0,13,0,0,0,0
"Plutarch",0,0,9,1,0,1
"Polybius",0,0,0,9,0,0
"Thucydides",2,2,0,2,16,6
"-SUM-",2,2,0,4,0,8
"Diodorus",11,0,0,0,0,0
"Herodotus",1,9,0,0,0,1
"Plutarch",0,2,13,1,0,3
"Polybius",0,0,0,19,0,0
"Thucydides",0,1,0,3,10,4
"-SUM-",1,3,0,4,0,8
"Diodorus",7,0,0,1,1,2
"Herodotus",0,9,0,0,2,2
"Plutarch",1,2,14,1,0,4
"Polybius",1,0,0,17,0,1
"Thucydides",0,2,0,0,12,2
"-SUM-",2,4,0,2,3,11
"Diodorus",14,0,0,1,0,1
"Herodotus",0,11,1,0,2,3
"Plutarch",0,1,9,3,2,6
"Polybius",0,0,1,14,0,1
"Thucydides",2,2,0,1,6,5
"-SUM-",2,3,2,5,4,16
"Diodorus",16,0,0,3,0,3
"Herodotus",0,13,0,0,0,0
"Plutarch",0,1,8,1,3,5
"Polybius",0,0,0,16,0,0
"Thucydides",0,1,0,0,8,1
"-SUM-",0,2,0,4,3,9
"Diodorus",17,0,0,1,1,2
"Herodotus",0,8,0,1,0,1
"Plutarch",0,0,10,2,2,4
"Polybius",0,0,0,14,0,0
"Thucydides",1,3,0,0,10,4
"-SUM-",1,3,0,4,3,11
"Diodorus",5,0,0,2,0,2
