"","Diodorus","Herodotus","Lysias","Plutarch","Polybius","Thucydides","Xenophon","-SUM-"
"Plutarch",0,0,0,2,0,0,0,0
"Polybius",0,0,0,0,11,0,0,0
"Thucydides",0,0,0,0,0,0,0,0
"Xenophon",0,1,0,0,0,0,1,1
"-SUM-",0,1,0,0,0,0,0,1
"Diodorus",2,0,0,0,0,0,0,0
"Herodotus",0,2,0,0,0,0,0,0
"Lysias",0,0,0,0,0,0,0,0
"Plutarch",0,0,0,5,0,0,0,0
"Polybius",1,0,0,0,6,0,0,1
"Thucydides",0,0,0,0,0,3,0,0
"Xenophon",0,1,0,0,0,1,0,2
"-SUM-",1,1,0,0,0,1,0,3
"Diodorus",2,0,0,0,0,0,0,0
"Herodotus",0,3,0,0,0,0,0,0
"Lysias",0,0,1,0,0,0,0,0
"Plutarch",0,0,0,4,0,0,0,0
"Polybius",0,0,0,0,8,1,0,1
"Thucydides",0,0,0,0,0,0,0,0
"Xenophon",0,0,0,0,0,1,1,1
"-SUM-",0,0,0,0,0,2,0,2
"Diodorus",4,0,0,0,0,0,0,0
"Herodotus",0,2,0,0,0,0,0,0
"Lysias",0,0,2,0,0,0,0,0
"Plutarch",0,0,0,2,0,0,0,0
"Polybius",0,0,0,0,8,1,0,1
"Thucydides",0,0,0,0,0,2,0,0
"Xenophon",0,0,0,0,0,0,0,0
"-SUM-",0,0,0,0,0,1,0,1
"Diodorus",2,0,0,0,0,0,0,0
"Herodotus",0,3,0,0,0,0,0,0
"Lysias",0,0,1,0,0,0,0,0
"Plutarch",0,0,0,2,0,0,0,0
"Polybius",0,0,0,0,10,0,0,0
"Thucydides",0,0,0,0,0,0,0,0
"Xenophon",0,2,0,0,0,1,0,3
"-SUM-",0,2,0,0,0,1,0,3
"Diodorus",2,0,0,0,0,0,0,0
"Herodotus",0,0,0,0,0,0,0,0
"Lysias",0,0,3,0,0,1,0,1
"Plutarch",0,0,0,8,0,0,0,0
"Polybius",0,0,0,0,5,0,0,0
"Thucydides",0,0,0,0,0,0,0,0
"Xenophon",0,0,0,0,0,1,1,1
"-SUM-",0,0,0,0,0,2,0,2
"Diodorus",2,0,0,0,0,0,0,0
"Herodotus",0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,0,0,0
"Plutarch",0,0,0,4,0,0,0,0
"Polybius",0,0,0,0,10,0,0,0
"Thucydides",0,0,0,0,0,3,0,0
"Xenophon",0,1,0,0,0,0,0,1
"-SUM-",0,1,0,0,0,0,0,1
"Diodorus",1,0,0,0,0,0,0,0
"Herodotus",0,3,0,0,0,0,0,0
"Lysias",0,0,1,0,0,0,0,0
"Plutarch",0,0,0,4,0,0,0,0
"Polybius",0,0,0,0,11,0,0,0
"Thucydides",0,0,0,0,0,1,0,0
"Xenophon",0,0,0,0,0,0,0,0
"-SUM-",0,0,0,0,0,0,0,0
"Diodorus",6,0,0,0,1,0,0,1
"Herodotus",0,2,0,0,0,0,0,0
"Lysias",0,0,1,0,0,0,0,0
"Plutarch",0,0,0,2,0,0,0,0
"Polybius",0,0,0,0,8,0,0,0
"Thucydides",0,0,0,0,0,0,0,0
"Xenophon",0,0,0,0,0,0,1,0
"-SUM-",0,0,0,0,1,0,0,1
"Diodorus",1,0,0,0,0,0,0,0
"Herodotus",0,4,0,0,0,0,0,0
"Lysias",0,0,2,0,0,0,0,0
"Plutarch",0,1,0,3,0,0,0,1
"Polybius",0,0,0,0,8,0,0,0
"Thucydides",0,0,0,0,0,1,0,0
"Xenophon",0,0,0,0,0,0,1,0
"-SUM-",0,1,0,0,0,0,0,1
"Diodorus",1,0,0,0,0,0,0,0
"Herodotus",0,3,0,0,0,0,0,0
"Lysias",0,0,4,0,0,0,0,0
"Plutarch",0,1,0,2,0,0,0,1
"Polybius",0,0,0,0,6,0,0,0
"Thucydides",0,0,0,0,0,4,0,0
"Xenophon",0,0,0,0,0,0,0,0
"-SUM-",0,1,0,0,0,0,0,1
"Diodorus",3,0,0,0,0,0,0,0
"Herodotus",0,0,0,0,0,0,0,0
"Lysias",0,0,2,0,0,0,0,0
"Plutarch",0,0,0,1,0,0,0,0
"Polybius",0,0,0,0,13,0,0,0
"Thucydides",0,0,0,0,0,0,0,0
"Xenophon",0,0,0,0,0,0,2,0
"-SUM-",0,0,0,0,0,0,0,0
"Diodorus",3,0,0,0,0,0,0,0
"Herodotus",0,2,0,0,0,0,0,0
"Lysias",0,0,1,0,0,0,0,0
"Plutarch",0,0,0,3,0,0,0,0
"Polybius",0,0,0,0,10,0,0,0
"Thucydides",0,0,0,0,0,0,0,0
"Xenophon",0,0,0,0,0,1,1,1
"-SUM-",0,0,0,0,0,1,0,1
"Diodorus",3,0,0,0,0,0,0,0
"Herodotus",0,2,0,0,0,0,0,0
"Lysias",0,0,2,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,0
"Polybius",0,0,0,0,8,0,0,0
"Thucydides",0,0,0,0,0,4,0,0
"Xenophon",0,2,0,0,0,0,0,2
"-SUM-",0,2,0,0,0,0,0,2
"Diodorus",2,0,0,0,0,0,0,0
"Herodotus",0,3,0,0,0,0,0,0
"Lysias",0,0,2,0,0,0,0,0
"Plutarch",0,0,0,2,0,0,0,0
"Polybius",0,0,0,0,10,0,0,0
"Thucydides",0,0,0,0,0,2,0,0
"Xenophon",0,0,0,0,0,0,0,0
"-SUM-",0,0,0,0,0,0,0,0
"Diodorus",1,0,0,0,0,0,0,0
"Herodotus",0,3,0,0,0,0,0,0
"Lysias",0,0,1,0,0,0,0,0
"Plutarch",0,1,0,2,0,0,0,1
"Polybius",0,0,0,0,7,0,0,0
"Thucydides",0,0,0,0,0,3,0,0
"Xenophon",0,2,0,0,0,0,1,2
"-SUM-",0,3,0,0,0,0,0,3
"Diodorus",2,0,0,0,0,0,0,0
"Herodotus",0,3,0,0,0,0,0,0
"Lysias",0,0,2,0,0,0,0,0
"Plutarch",0,0,0,4,0,0,0,0
"Polybius",0,0,0,0,7,0,0,0
"Thucydides",0,0,0,0,0,1,0,0
"Xenophon",0,1,0,0,0,0,1,1
"-SUM-",0,1,0,0,0,0,0,1
"Diodorus",3,0,0,0,0,0,0,0
"Herodotus",0,2,0,0,0,0,0,0
"Lysias",0,0,0,0,0,0,0,0
"Plutarch",0,0,0,4,0,0,0,0
"Polybius",0,0,0,0,8,1,0,1
"Thucydides",0,0,0,0,0,2,0,0
"Xenophon",0,0,0,0,0,0,1,0
"-SUM-",0,0,0,0,0,1,0,1
"Diodorus",0,0,0,0,0,0,0,0
"Herodotus",0,4,0,0,0,0,0,0
"Lysias",0,0,2,0,0,0,0,0
"Plutarch",0,0,0,2,0,0,0,0
"Polybius",0,0,0,0,10,0,0,0
"Thucydides",0,0,0,0,0,2,0,0
"Xenophon",0,0,0,0,0,0,1,0
"-SUM-",0,0,0,0,0,0,0,0
"Diodorus",4,0,0,0,0,0,0,0
"Herodotus",0,1,0,0,0,0,0,0
"Lysias",0,1,3,0,0,0,0,1
"Plutarch",0,0,0,2,0,0,0,0
"Polybius",0,0,0,0,8,0,0,0
"Thucydides",0,0,0,0,0,2,0,0
"Xenophon",0,0,0,0,0,0,0,0
"-SUM-",0,1,0,0,0,0,0,1
"Diodorus",1,0,0,0,1,0,0,1
"Herodotus",0,1,0,0,0,0,0,0
"Lysias",0,0,1,0,0,0,0,0
"Plutarch",0,1,0,5,0,0,0,1
"Polybius",0,0,0,0,7,0,0,0
"Thucydides",0,0,0,0,0,1,0,0
"Xenophon",0,0,0,0,0,1,2,1
"-SUM-",0,1,0,0,1,1,0,3
"Diodorus",2,0,0,0,0,0,0,0
"Herodotus",0,2,0,0,0,0,0,0
"Lysias",0,0,2,0,0,0,0,0
"Plutarch",0,0,0,5,0,0,0,0
"Polybius",0,0,0,0,4,0,0,0
"Thucydides",0,0,0,0,0,3,0,0
"Xenophon",0,1,0,0,0,0,2,1
"-SUM-",0,1,0,0,0,0,0,1
"Diodorus",2,0,0,0,0,0,0,0
"Herodotus",0,1,0,0,0,0,0,0
"Lysias",0,0,1,0,0,0,0,0
"Plutarch",0,1,0,4,0,0,0,1
"Polybius",0,0,0,0,10,0,0,0
"Thucydides",0,0,0,0,0,1,0,0
"Xenophon",0,0,0,0,0,1,0,1
"-SUM-",0,1,0,0,0,1,0,2
"Diodorus",0,0,0,0,0,0,0,0
"Herodotus",0,2,0,0,0,0,0,0
"Lysias",0,0,2,0,0,0,0,0
"Plutarch",0,0,0,5,0,0,0,0
"Polybius",1,0,0,0,5,0,0,1
"Thucydides",0,0,0,0,0,3,0,0
"Xenophon",0,2,0,0,0,1,0,3
"-SUM-",1,2,0,0,0,1,0,4
